"카페명","간략소개","공간소개","이용시간","휴무일","시설안내","시설안내","시설안내","시설안내","시설안내","시설안내","시설안내","시설안내","시설안내","시설안내","예약시주의사항","예약시주의사항","예약시주의사항","예약시주의사항","예약시주의사항","예약시주의사항","예약시주의사항","예약시주의사항","예약시주의사항","예약시주의사항","주소","구군","상세주소","승인방법","카페이미지주소","카페유형"
"손스스터디카페","청년들이 꿈을 키우는 공간입니다","* 코로나 단계 격상으로 인해 12월 한달간은 스터디룸 무료대관 이용이 어려운 점 양해 부탁드립니다.  노량진 역 맞은편에 위치한 취업준비생 수험생들을 위한 스터디카페입니다.  임용고시 등 공무원 시험일정에 따라 일정기간동안 일자리카페이용이 제한될 수 있음을 안내드립니다.   ※ 일자리카페 무료공간이용시간은 화 목 18:00~22:00입니다.","매일 09:00~22:00","명절","스터디룸 2~6인 이용 가능","","","","","","","","","","청년은 누구나 무료로 예약 또는 이용 하실 수 있습니다. 아쉽게도 무료공간은 청년들을 위해서만 개방이 되어 있습니다.","예약을 통해서만 이용할 수 있습니다.좋은 공간을 많은 사람들이 공유하자는 취지에서 1팀 최대 2시간 까지만 예약 부탁드립니다. ","취창업 관련 청년활동 (스터디 면접 준비 해당 주제 관련 모임)에 한해서만 이용이 가능합니다. ","서울시일자리카페로 제공되는 스터디룸은 홈페이지 예약일정을 확인해주시기 바랍니다.","최소 2주일 전에 예약해 주셔야 하는 점 양해 부탁드립니다.","","","","","","서울특별시 동작구 노량진로 174","동작구","손스스터디카페","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=손스스터디카페.JPG","공공시설"
"성동구립도서관","청년들의 꿈을 키우는 공간입니다.","지식정보의 보고이자 청년들이 미래를 준비하는 ‘성동구립도서관’에서 청년들의 취업을 위한 맞춤형 프로그램을 제공합니다. 이 곳에서 많은 청년들이 미래를 꿈꾸고 꿈을 실현할 기회를 얻기를 기대합니다.  ★코로나-19 수도권 지역의 연쇄 감염 확산으로 인해 강화된 방역조치 시행을 위한 공공시설 운영 중단이 6/30(화)까지 연장되어 일자리카페 시설(스터디룸) 또한 폐쇄됨을 알려드립니다.★ ","평일 09시~18시","매주 월토일요일 공휴일","일반열람실 132석","","","","","","","","","","청년은 누구나 무료로 이용 하실 수 있습니다. ","★성동구립도서관은 스터디룸(or세미나룸)이 따로 공간분리가 되어 있지 않습니다. ","★도서관 자체 행사 및 프로그램 진행 등 이용공간 부족으로 인해 무료스터디룸 제공하지 못하게 되었습니다.","※ 1:1 취업상담 취업특강 등의 프로그램은 예약을 통해 이용 가능합니다. ","","","","","","","서울특별시 성동구 고산자로10길 9","성동구","성동구립도서관 1층","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=20170314_162855-2.jpg","도서관"
"한성대학교 일자리카페","한성대 청년들의 꿈 찾기와 성장을 지원하는 공간입니다.","한성대학교 일자리카페는 캠퍼스의 중심 상상관에 있습니다. B1층의 취창업라운지 B2층의 세미나실에서 미팅과 팀플이 가능합니다. 전문상담사를 통한 1:1상담 다양한 역량개발 프로그램을 통해 청년들이 꿈을 찾고 도전하는 과정을 지원하고 있습니다.","평일 09시~21시(방학중 09:00~17:00)","공휴일","09:00~21:00","취창업라운지에 일자리카페 키오스크 설치","취업상담/특강/멘토링 프로그램 운영","","","","","","","","운영시간: 09:00~21:00(방학중 09:00~17:00)","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","","","","서울특별시 성북구 삼선교로16길 116","성북구","상상관","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=메인이미지.jpg","대학교"
"서울혁신파크","시민과 혁신가들이 모이는 공간 미래청 1층 두레생협 옆쪽 일자리카페 키오스크가 설치되어 있습니다. 1:1상담 및 취업 프로그램은 별도의 공간(상상청 건물)에서 이루어집니다. ","미래청 1층 두레생협 옆쪽 일자리카페 키오스크가 설치되어 있습니다. 키오스크를 통해 프로그램 예약신청 채용정보 정책정보를 확인할 수 있습니다.  서울혁신파크 공간은 입주단체들이 주로 사용하는 공간으로 일자리카페 회원은 1:1상담 및 취업프로그램 신청 시에만 이용가능합니다.  일자리카페 프로그램 문의 시 대표번호(02-2133-5443)로 문의 해주세요.","미래청이용시간 : 월~토 06:00~24:00/일자리카페 프로그램 운영시간 별도","일요일 공휴일","미래청 1층 두레생협 옆쪽 일자리카페 키오스크가 설치되어 있습니다. ","키오스크를 통해 프로그램 예약신청 채용정보 정책정보를 확인할 수 있습니다. ","서울혁신파크 공간은 입주단체들이 주로 사용하는 공간으로 일자리카페 회원은 1:1상담 및 취업프로그램 신청 시에만 이용가능합니다. ","일자리카페 사전예약을 통한 별도의 무료대관은 제공하지 않고 있사오니 착오없으시기 바랍니다.","","","","","","","1:1상담 및 취업프로그램 문의는 대표번호(02-731-9570)로 문의주십시오.","","","","","","","","","","서울특별시 은평구 통일로 684","은평구","상상청","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=메인.jpg","공공시설"
"성공회대학교 일자리카페","성공회대 학생들이 사회진출을 준비하는 공간입니다.","[스터디룸 / 대표번호 / SMS발송 핸드폰번호 / 스터디룸정보 / 준비중] ? 그룹 스터디 ? 세미나 ? 취업 설명회/채용 설명회  ? 기타 교육 장소","학기중-08:30~20:00/방학중-08:30~15:00","공휴일","세미나 및 그룹스터디 가능","최대 20인 수용가능","","","","","","","","","성공회대 재학생 및 졸업생은 누구나 무료로 이용 하실 수 있습니다. ","취창업 관련 청년활동(스터디 면접 준비 해당 주제 관련 모임)에 한해서만 이용이 가능합니다. ","다른 사용자들을 위해 말소리는 작게 해 주세요. ","음식물 반입은 불가합니다.","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","서울특별시 구로구 연동로 320","구로구","성공회대학교 새천년관","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=04.성공회대학교 일자리카페 내부_1.jpg","대학교"
"서경대학교 CLC Zone 1번방","취업을 준비하는 대학생들을 위한 청년 스터디룸 공간입니다.","서경대학교 CLC Zone 1번방은 대학생들의 취업준비 및 스터디활동을 위해 지원되는 공간으로  취업을 준비하는 대학생들에게 무료로 제공되며 청년 취업준비에 도움을 주기 위해 지원하는 공간입니다.  스터디룸 수용인원 : 최대 10명","학기(방학)중:금요일13시~17시(10시~15시)","공휴일 및 주말","학기중 : 금(13:00~17:00)/주말 및 공휴일 휴무","방학중 : 금(10:00~15:00)/주말 및 공휴일 휴무","스터디룸 수용인원 : 최소 8명~최대 10명","스터디룸 부대시설 : wifi 회이트보드","","","","","","","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","","","","","서울특별시 성북구 서경로 124","성북구","유담관 L층 CLC Zone 취업지원센터 1번 세미나실","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=1.jpg","대학교"
"LH남부권주거복지지사","마이홈 같이 편안한 서울시 일자리 카페입니다. 취업 준비도 하고 주거 상담 등 다양한 상담도 받고!","* 코로나 단계 격상으로 인해 12월 한달간은 스터디룸 이용이 어려운 점 양해 부탁드립니다.  선릉역 8번 출구 성원타워 1층에 위치한 주거지원 상담센터입니다. 취업 특강 스터디룸 대여는 물론 다양한 복지 연계 상담프로그램을 무료로 이용하실 수 있습니다.  [LH 주거지원 개인별 윟춤 상담] 월~금 평일 9~18시 [우리은행 주택도시기금 대출 상담] 월 화 13~18시 [법률홈닥터 상담] 수 14~17시 [서울시복지재단 금융복지상담] 수 9:30~17:30 [바야다코리아 간호사 건강상담] 월 14~17시 [한국산업간호협회 간호사 건강상담] 매월 2주 목 13:30~17:30 [강남구치매안심센터 치매검진] 매월 4주 금 14~17시  [서울시일자리카페 청년취업상담] 화 14~17시 금 14~18시 [서울시일자리카페 취업특강 및 멘토링] 매월24주 토 13:30~17:00  * 기관 사정에 따라 서비스 일정이 다소 변경 가능하므로 사전에 마이홈 센터로 서비스 일정 문의 부탁드립니다. * 상담 프로그램은 별도 예약 없이 무료로 진행됩니다. * 마이홈 스터디룸 나눔터는 사전 예약 후 이용 가능하며 예약시 주의사항을 반드시 읽어주세요.","9:00?18:00","주말 법정 공휴일(24주 토 10~17시 운영)","마이홈 카페 마이홈 스터디룸(5개) 나눔터(1개) 주차장(유료) 인쇄(불가) ","[마이홈 카페] 정보검색 PC 2대 정수기 혈압측정계 창가 스탠드형 좌석 개인 노트북 전원 이용 가능 운영시간 내 상시 개방(예약 불필요)","[마이홈 스터디룸1] 정보검색 PC 1대 1~5명 수용 가능 매주 월~금(9~12시)","[마이홈 스터디룸2] 정보검색 PC 1대 1~5명 수용 가능 매주 월~금(9~12시)","[마이홈 스터디룸3] 1~5명 수용 가능 취업특강일정에 맞춰 개방 예정","[마이홈 스터디룸4] 1~5명 수용 가능 취업특강일정에 맞춰 개방 예정","[마이홈 스터디룸5] 1~5명 수용 가능 취업특강일정에 맞춰 개방 예정","※ 4월 임시휴관으로 인해 대관 미진행중입니다. 향후 사회적 거리두기 캠페인 진행여부에 따라 대관여부를 추후결정하도록 하겠습니다","","","음료 외 음식물은 반입 불가합니다.","이용 후 뒷정리 부탁드립니다. ","마이홈 나눔터는 특강 스터디룸 등으로 활용하실 수 있는 강의장입니다. 다른 일정으로 이용 희망시 전화문의 바랍니다.","평일 9시~18시까지 이용가능합니다. (주말 법정 공휴일 휴무이나 매월24주 토요일은 10~17시 운영)","청년은 누구나 무료로 예약 또는 이용하실 수 있습니다. 스터디룸과 나눔터는 청년들을 위해서만 개방이 되어 있습니다.","취창업 관련 청년 활동(스터디 면접 준비 해당 주제관련 모임)에 한해서만 이용이 가능합니다. ","센터 자체 복지 연계 프로그램 외 일자리카페 프로그램(취업 특강 등)은 서울일자리 포털 회원가입 및 예약 후 참여가능합니다. ","이용 후 책상 및 의자 세팅 원상복구 및 발생한 쓰레기는 깨끗이 정리해주세요. ","※ 또한 스터디룸 예약 신청 후 (노쇼발생 등 미사용 시) 해당 대관자의 차후 사용이 제한될 수 있습니다.","","서울특별시 강남구 선릉로 514","강남구","성원빌딩 1층","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=마이홈 홀사진.jpg","공공시설"
"해커스어학원 강남역캠퍼스","대한민국 청년들의 취업 준비를 지원하는 공간 ","해커스 취업아카데미는 대한민국 청년들의 취업 준비를 지원하는 공간입니다. 든든한 취업준비 공간 해커스가 여러분들의 꿈을 응원합니다.  다양한 스터디와 취업 준비를 지원하는 해커스 취업아카데미는 공부하기 적합한 스터디 카페이며 발빠른 취업 정보 제공과 취업 특강 등 취업 지원 프로그램도 운영합니다.","평일 09시~22시 / 주말?공휴일 09시~18시","매주 화 목 이용불가 (그 외 공휴일)","※2020년부터 무료 스터디룸의 별도 공간을 제공하고 있지 않습니다. 양해바랍니다.","","","","","","","","","","※2020년부터 무료 스터디룸의 별도 공간을 제공하고 있지 않습니다. 양해바랍니다.","","","","","","","","","","서울특별시 서초구 강남대로61길 25","서초구","해커스 취업아카데미 평생교육원","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=무제-12.png","기타"
"청춘삘딩","청년들의 꿈을 키우는 공간입니다.","청년들이 자유롭게 이용 가능하며 여러 가지 정보를 공유할 수 있는 공간입니다.","매주 월요일~토요일(10:00?22:00)","일요일 공휴일","세미나룸 6-8명 수용 가능","","","","","","","","","","※※ 예약 전 링크를 통해 대관 일정을 꼭 확인해주세요 https://c11.kr/7vj8 ※※","취업관련 청년활동(취업스터디면접준비해당주제관련모임)에 한해서만 이용이 가능합니다.","예약 시 이용목적을 기재해 주시기 바랍니다. ※ 예시: 인적성 NCS공기업면접00그룹00자격증실기 전공(경영학등)공부 등/ 스터디라고만 기재하시면 확인이 어렵습니다)","예약 후 참석하지 않으실 경우 스터디룸 사용이 취소되며 추후 스터디룸 사용에 제한을 받을 수 있으니 꼭 주의 해 주시기 바랍니다.","","","","","","","서울특별시 금천구 시흥대로138길 10-11","금천구","청춘삘딩","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=1-2.jpg","공공시설"
"청년공간이음","“청년들을 위한 무료 문화복합공간”","* 코로나 단계 격상으로 인해 12월 한달간은 스터디룸 이용이 어려운 점 양해 부탁드립니다.  관악구 봉천동 지역 1인가구 청년들에게 집과 같이 편한 곳 낯선 이들이 만나 함께하며 미래로 나갈 수 있는 힘을 줄 수 있도록 돕는 무료공간임 ?","평일 10시~22시 토요일 10시~18시","공휴일 일요일","스터디룸/최대 12인 수용가능","? 스터디룸명","? 스터디룸 유형 : 세미나실 회의실","? 무료개방일시 : 수요일 시간 10~17시 (1팀당 2시간 단위 예약가능)","? 스터디룸 수용인원 : 최소4명~최대12명","? 스터디룸 부대시설 : wifi 화이트보드 ","? 스터디룸 간략 소개 : 최대 12명 사용가능","","","","[권장사항] ","청년은 누구나 무료로 예약 또는 이용 하실 수 있습니다. 아쉽게도 무료공간은 청년들을 위해서만 개방이 되어 있습니다.","예약을 통해서만 이용할 수 있습니다. ","좋은 공간을 많은 사람들이 공유하자는 취지에서 1팀 최대 2시간 까지만 예약 부탁드립니다. ","2시간 무료이용시간 초과시 유료전환되오니 유의하시기 바랍니다.","취창업 관련 청년활동 (스터디 면접 준비 해당 주제 관련 모임)에 한해서만 이용이 가능합니다. ","서울시일자리카페로 제공되는 스터디룸은 홈페이지 예약일정을 확인해주시기 바랍니다.","","","","서울특별시 관악구 봉천로62길 5","관악구","4층 청년공간 이음","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=20160503_121427.jpg","기타"
"성균관대학교 일자리카페","서울시 일자리정책과 취업 정보들을 홍보하는 공간입니다.","서울시 일자리정책과 취업 정보들을 홍보하는 공간입니다.","평일 9:00 ~ 17:00","토일 법정 공휴일","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","","","","","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","","","","","서울특별시 종로구 성균관로 25- 2","종로구","성균관대학교 경영관 1층","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=성균관대_메인image.jpg","대학교"
"동대문도서관","동대문구 청년들의 실질적인 취업경쟁력 강화를 위한 카페","청년들의 다양한 활동과 네트워킹을 지원하고 함께 만들어 가는 공간 공간예약은 2월 10일부터 가능합니다. ","동절기:평일 8~23(주말8시~22시)","공휴일 (정기휴관일 둘째 넷째 수요일)","동대문구 청년들의 실질적인 취업경쟁력 강화를 위한 카페입니다. ","","","","","","","","","","공간 사용 예약 시 요청사항 항목에 대관목적과 상세내용을 기재하지 않으면 사용승인이 불가능하오니 유의하시기 바랍니다.","공간 사용예약 시 타 행사 및 대관과 중복될 경우 사용예약 승인이   취소 될 수 있습니다.","공간 사용 시 사전예약을 원칙으로 하며 사용일 기준 최소 7일 이전에   예약해야 합니다","공간 예약은 평일 오전9시~오후6시 이내 신청이 가능하며 (평일 야간(18시~08시) 주말(토일/공휴일포함)에는 예약승인 불가)","취?창업 관련 청년활동 (스터디 면접 준비 해당 주제 관련 모임)에 한해서만 이용이 가능합니다. "," 서울시일자리카페로 제공되는 스터디룸은 홈페이지 예약일정을  확인해주시기 바랍니다. ","","","","","서울특별시 동대문구 천호대로4길 22","동대문구","11","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=메인이미지.JPG","도서관"
"랭스터디카페건대점","청년들의 꿈을 응원하는 공간입니다^^","광진구에서는 ‘취업특강 취업멘토링 스터디룸 무료 대여’ 등 청년들이 편리하게 취업 지원 서비스를 받을 수 있는 일자리카페를 운영하고 있습니다.  ","월 화 수 목 금 10시~15시","토 일 공휴일","서울시일자리카페입니다.","랭스스터디카페는 '조용한' 스터디 카페입니다.","★ 사회적 거리두기 방침에 따라 당분간 스터디룸 이용인원을 최대 6인->3인으로 변경하여 운영합니다.  3인 초과 예약시 확인승인이 되지 않으니 양해바랍니다.","","","","","","","","청년은 누구나 무료로 예약 또는 이용 하실 수 있습니다. 아쉽게도 무료공간은 청년들을 위해서만 개방이 되어 있습니다.","예약을 통해서만 이용할 수 있으며 신청 하시면 '최종승인(랭스터디카페)' 확인 후 이용 가능합니다.","좋은 공간을 많은 사람들이 공유하자는 취지에서 1팀 2시간 단위(최대시간 2시간)로 예약 부탁드립니다.","취창업 관련 청년활동 (스터디 면접 준비 해당 주제 관련모임)에 한해서만 이용이 가능합니다. ","예약 시 이용목적을 기재해 주시시기 바랍니다. ","서울시일자리카페로 제공되는 스터디룸은 홈페이지 예약일정을확인해주시기 바랍니다","이용 후 책상 및 의자 세팅 원상복구 및 발생한 쓰레기는 깨끗이 정리해주세요. ","스터디룸 이용시 소음이 발생하지 않도록 주의해주세요.","","","서울특별시 광진구 아차산로34길 26","광진구","2층","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=KakaoTalk_20170325_183453293.jpg","스터디카페"
"숙명여자대학교","청년들의 취업에 도움을 주는 공간입니다.","숙명여자대학교 일자리카페 키오스크 입니다.","평일 9시~21시","공휴일","일자리카페 키오스크 설치","","","","","","","","","","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","","","","","서울특별시 용산구 청파로47길 100","용산구","숙명여자대학교","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=sp1_2.jpg","대학교"
"국민대학교 Dream Job","국민대학교 경력개발지원단 잡카페(Dream Job)","국민대학교 경력개발지원단에서 운영하는 잡카페로 진로를 고민하고 취업을 준비하는 국민대학교 학생들이 편안한 분위기에서 자신의 적성과 관심분야에 맞는 직업을 탐색하고 준비할 수 있도록 지원하는 공간입니다.","평일 09시~17시","주말 및 공휴일","세미나실 및 취업(진로)상담실","일자리카페 키오스크 설치 및 운영","","","","","","","","","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","","","","","서울특별시 성북구 정릉로 77","성북구","국민대학교 종합복지관 지하1층 잡카페","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=[붙임1]메인이미지(국민대학교).png","대학교"
"양천 창업디딤누리","양천구 내 예비 창업자와 창업자들을 위한 장소를 무료로 제공하고 있습니다. ","양천구 파리공원 옆에 위치한 사회적경제지원센터. 3층 창업디딤누리의 다양하고 편리한 시설을 소개드립니다!  *현재 정부의 사회적 거리두기 방역 지침으로 인해 각 실의 인원이 제한 되오니 예약 전 전화 문의 부탁 드립니다.*  ○창업 디딤누리 홀 -누구나 자유롭게 사용할 수 있는 공간입니다. -편안한 분위기에서 스터디 개인 작업 등의 이용 가능합니다.  ○ 4~10인실까지의 회의실 - 창업을 준비 중 혹은 창업을 했다면 누구나 이용하실 수 있는 회의실로 멤버십 가입 후 이용 가능합니다.(무료) -세미나실1(최대 5명) 세미나실2 (최대 2~3명) 미팅룸1 (최대 2명)  ○ 미디어편집실 - 영상편집할 장비가 필요하다면 어도비 프로그램이 설치되어 있고 더블 모니터의 넉넉한 화면으로 작업이 가능한 편집실이 준비되어 있습니다.(무료)  ○ 제품촬영스튜디오 - 작은 제품을 촬영해야 한다면 여러가지의 배경색 조명 반사판 카메라 대여까지 가능한 창업디딤누리 스튜디오를 이용해보세요. (무료)  ○크리에이터실(영상촬영실) - 전자칠판 조명 마이크 실시간스트리밍장비 모니터 등을 통해 영상 콘텐츠를 제작할 수 있는 공간입니다. -스트리밍 녹화 편집 모두 가능합니다! (무료) ","평일 9:00~18:00","주말 공휴일","세미나실1 : 최대 10명 (코로나로 인해 최대 5명)","세미나실3 : 최대 4명 (코로나로 인해 최대 2~3명)","미팅룸1 : 최대 3명 (코로나로 인해 최대 2명)","미디어편집실: 어도비 프로그램(포토샵 일러스트레이터 프리미어 애프터이팩트 등)이 설치되어 있어 영상 디자인 편집  등의 작업을 할 수 있는 공간"," 제품촬영스튜디오: 작은 제품들을 촬영할 수 있는 소형 제품 전용 촬영 스튜디오","크리에이터실; 강의영상 유튜브콘텐츠 녹화와 실시간 스트리밍이 가능한 공간","","","","","이용자의 과실로 기관의 물품(카메라 컴퓨터 등)이 파손될 경우 이에 대한 손해 배상을 청구할 수 있습니다.","회의실 제품촬영스튜디오 영상편집실 예약은 최소 3일전에 스페이스클라우드를 통해 가능하며 당일 혹은 하루 전 예약은 전화문의를 통한 예약만 가능합니다.","회의실은 창업준비중이시거나 기창업자들을 대상으로 대관해드립니다","예약 관련해서 기타 문의사항이 있으실 경우 전화문의하시면 보다 원활한 상담이 가능합니다.","회의실 제품촬영스튜디오 영상편집실 예약 후 당일 노쇼 시 다음 예약에 불이익이 있을 수 있습니다.","이용 후 사용한 물품 반납 사용하신 공간 정리는 필수!입니다.","세미나실은 기본 2시간 대관 다음 타임 예약이 없을 경우 연장 가능","미디어 편집실은 1인당 1일권 단위로 예약하실 수 있습니다.(1대보유)","","","서울특별시 양천구 목동동로 375","양천구","사회적경제지원센터 3층 창업디딤누리","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=창업디딤누리 (2)_1.jpg","공공시설"
"서일대학교 Job카페","학생들의 열정과 땀이 묻어있는 카페입니다.","젊은 도전 새로운 비전 서일대학교의 Job카페입니다. 학생들의 열정과 땀이 묻어있는 공간입니다.  -스터디룸 유형 : 다용도(스터디룸 회의실) -스터디룸 S2 : 4인 이상~ 6인 이하 -스터디룸 S3 : 4인 이상~ 7인 이하 -스터디룸 S4 : 4인 이상~ 12인 이하               -스터디룸 S5 : 4인 이상~ 6인 이하               -스터디룸 S6 : 3인 이상~ 5인 이하               -스터디룸 S7 : 4인 이상~ 12인 이하                            ","학기중 : 09시~22시/방학 중 : 10시~17시","토요일 공휴일 개교기념일(6월10일)","개방일 : 주중(공휴일 개교기념일 제외)","스터디룸 부대시설 : 화이트보드(스터디룸 S2  제외)","","","","","","","","","청년은 누구나 무료로 예약 또는 이용 하실 수 있습니다. ","좋은 공간을 많은 사람들이 공유하자는 취지에서 1팀 최대 4시간 까지만 사용 부탁드립니다.","취창업 관련 청년활동 (스터디 면접 준비 해당 주제 관련 모임)에 한해서만 이용이 가능합니다.","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","","서울특별시 중랑구 용마산로90길 28","중랑구","도서관 1층  Job카페","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=01. Job카페 출입문.jpg","대학교"
"명지대학교 MJ대학일자리센터","서대문구 남가좌동 명지대학교 내에 위치한 청년고용허브센터& 일자리카페 일자리카페 키오스크 설치 취업상담/특강/멘토링 프로그램 운영","키오스크를 통해 다양한 정보를 습득할 수 있으며 일자리카페 내 다양한 책자와 서비스를 이용할 수 있음(전화로 사전예약 필요)","평일09~18시(방학 09~17시)","공휴일 개교기념일","회의실1/최대 10인 수용가능","상담실1~4/최대 3~4명 수용가능","테이블1~4/3~10명 수용가능","취업지원실-명지대학교","※ 대학교 일자리카페는 일자리포털을 통하여 별도 공간 예약을 받지 않습니다.","","","","","","1. 만 18~34세 청년은 누구나 무료로 예약 또는 이용 하실 수 있습니다.  ","2. 운영시간: 09:00~18:00(방학기간 09:00~17:00)","3. 상담예약: 워크넷(work.go.kr)-청년-우리대학","","","","","","","","서울특별시 서대문구 거북골로 34","서대문구","행정동 1층 S5112","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=첨부1.jpg","대학교"
"중랑여성인력개발센터","스터디룸 운영 중단[7월 8월] 중랑 청년들의 취업지원을 위한 공간입니다.  문자상담문의(평일9시~18시) : 010-2353-2773","중랑구 상봉동 동부시장내에 위치하고 있으며 취업지원을 위한 상담실 및 스터디 진행이 가능한 시설을 갖추고 있습니다.  ★★★※센터 방문하여 구직신청서 작성하시면 무료 취업관련 도서 수령가능합니다. 방문일자를 말씀주시면 예약해드리겠습니다. 도서명:채용담당자가 공개하는 취업면접 합격기술 설민준 저 출판사:시대고시기획 ※지급도서는 변동될수있음 ※중복지급 제외 선착순마감 ※방문시 신분증 지참 필수","평일 09시~21시(일자리카페를 이용하시기 전에 3층 사무실에서 인원수대로 일자리카페 이용대장을 꼭 작성하여 주시기 바랍니다.)","토 일요일 법정공휴일","스터디룸(303호)/최대 1~4인 수용가능 ","스터디룸(502호)/최대 1~10인 수용가능 ","상담실Ⅰ/최대 1~2인 수용가능 ","상담실Ⅱ/최대 1~2인 수용가능 ","무료 대관 일시 : 303호 502호 월~금 09:00~21:00 / 상담실1&2 월~금 19:00~21:00","","","","","","청년은 누구나 무료로 예약 또는 이용 하실 수 있습니다. 아쉽게도 무료공간은 청년들을 위해서만 개방이 되어 있습니다.","예약을 통해서만 이용할 수 있습니다. 좋은 공간을 많은 사람들이 공유하자는 취지에서 1팀 최대 3시간 까지만 예약 부탁드립니다. ","취창업 관련 청년활동 (스터디 면접 준비 해당 주제 관련 모임)에 한해서만 이용이 가능합니다. ","예약시 이용 목적을 기재해 주시기 바랍니다 (ex. ncs스터디면접준비 00기업 필기준비 등)","서울시일자리카페로 제공되는 스터디룸은 홈페이지 예약일정을 확인해주시기 바랍니다.","일자리카페를 이용하시기 전에 3층 사무실에서 인원수대로 일자리카페 이용대장을 꼭 작성하여 주시기 바랍니다.","★이용대장 3회 이상 미기입시 이용이 불가합니다.","수강생의 안전과 지역사회 코로나19감염 전파 방지를 위하여 수업전 반드시 마스크를 착용해주세요.","★반드시 3층로비에서 손 소독 및 발열체크 후 체온을 자필로 발열체크리스트에 기입해주셔야 참여가 가능합니다!","강의실 내에서 물과 음료 외 식품은 섭취 금지입니다.","서울특별시 중랑구 망우로32길 20","중랑구","3층 중랑여성인력개발센터","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=IMG_0869.JPG","공공시설"
"곰달래문화복지센터","곰달래문화복지센터 (곰달래도서관)에서 청년들의 취업준비에 필요한 공간을 제공합니다. ","○ 곰달래문화복지센터 5층 북카페에 위치하고 있습니다. ○ 월요일이 휴무일이라 예약승인에 어려움이 있습니다.     월요일을 제외한 다른 요일에 예약 부탁드립니다.","화~일 09:00~20:00(*매주 화요일 오후1시~5시는 취업상담 운영으로 제외)","매주 월요일 및 국가공휴일","5층 북카페 이용(8명 내외)","무료개방일시: 화~일 09:00~20:00(*매주 화요일 오후1시~5시는 취업상담 운영으로 제외)","스터디룸수용인원: 최소 4명~최대 8명","스터디룸 부대시설 : wifi 등","곰달래문화복지센터 공간 특성상 작은 소리로 소통하여야 함","","","","","","취?창업 관련 청년활동 (스터디 면접 준비)에 한해서만 이용이 가능합니다. ","공간 사용 시 사전예약을 원칙으로 하며 사용일 기준 최소 7일 이전에 예약해야 합니다.","도서관 공간 특성상 작은 소리로 소통하여야 하는 제한이 있습니다.","서울시일자리카페로 제공되는 스터디룸은 홈페이지 예약일정을 확인해주시기 바랍니다.","이용 후 책상 및 의자 세팅 원상복구 및 발생한 쓰레기는 깨끗이 정리해주세요. (음식물 섭취 불가)","스터디룸 예약 신청 후 (노쇼발생 등 미사용 시) 해당 대관자의 차후 사용이 제한될 수 있습니다","★월요일이 휴무일이라 예약승인에 어려움이 있습니다. 월요일을 제외한 다른 요일에 예약 부탁드립니다.","","","","서울특별시 강서구 강서로5길 50","강서구","곰달래문화복지센터 5 6층","확인승인","http://job.seoul.go.kr/www/common/img.jsp?dir=jobcafe&name=(곰달래문화복지센터)_메인이미지(사이즈조정)_200217(필터).bmp","도서관"
